"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";70.13;0;10.9;0;0;0;
"01-01-2014 00h30";67.13;0;9.6;0;0;0;
"01-01-2014 00h45";72.13;0;17.1;0;0;0;
"01-01-2014 01h00";74.13;0;19.3;0;0;0;
"01-01-2014 01h15";72.13;0;16.1;0;0;0;
"01-01-2014 01h30";68.13;0;12.7;0;0;0;
"01-01-2014 01h45";67.13;0;13.6;0;0;0;
"01-01-2014 02h00";69.13;0;15.8;0;0;0;
"01-01-2014 02h15";60.12;0;5.9;0;0;0;
"01-01-2014 02h30";66.13;0;12.5;0;0;0;
"01-01-2014 02h45";62.12;0;9.1;0;0;0;
"01-01-2014 03h00";67.13;0;12.6;0;0;0;
"01-01-2014 03h15";64.13;0;10.3;0;0;0;
"01-01-2014 03h30";61.12;0;6;0;0;0;
"01-01-2014 03h45";67.13;0;11.6;0;0;0;
"01-01-2014 04h00";62.12;0;6.1;0;0;0;
"01-01-2014 04h15";62.12;0;9.1;0;0;0;
"01-01-2014 04h30";66.13;0;11.5;0;0;0;
"01-01-2014 04h45";61.12;0;8;0;0;0;
"01-01-2014 05h00";63.13;0;9.2;0;0;0;
"01-01-2014 05h15";65.13;0;10.4;0;0;0;
"01-01-2014 05h30";66.13;0;11.5;0;0;0;
"01-01-2014 05h45";67.13;0;12.6;0;0;0;
"01-01-2014 06h00";66.13;0;11.5;0;0;0;
"01-01-2014 06h15";68.13;0;8.7;0;0;0;
"01-01-2014 06h30";63.13;0;5.2;0;0;0;
"01-01-2014 06h45";68.13;0;11.7;0;0;0;
"01-01-2014 07h00";76.14;0;22.5;0;0;0;
"01-01-2014 07h15";74.13;0;20.3;0;0;0;
"01-01-2014 07h30";68.13;0;14.7;0;0;0;
"01-01-2014 07h45";64.13;0;7.3;0;0;0;
"01-01-2014 08h00";73.13;0;19.2;0;0;0;
"01-01-2014 08h15";87.14;0;33.6;0;0;0;
"01-01-2014 08h30";81.14;0;29;0;0;0;
"01-01-2014 08h45";89.15;0;34.8;0;0;0;
"01-01-2014 09h00";85.14;0;31.4;0;0;0;
"01-01-2014 09h15";91.15;0;38;0;0;0;
"01-01-2014 09h30";79.14;0;27.8;0;0;0;
"01-01-2014 09h45";93.15;0;39.2;0;0;0;
"01-01-2014 10h00";80.14;0;25.9;0;0;0;
"01-01-2014 10h15";84.14;0;30.3;0;0;0;
"01-01-2014 10h30";90.15;0;36.9;0;0;0;
"01-01-2014 10h45";85.14;0;32.4;0;0;0;
"01-01-2014 11h00";78.14;0;21.7;0;0;0;
"01-01-2014 11h15";77.14;0;24.6;0;0;0;
"01-01-2014 11h30";87.14;0;32.6;0;0;0;
"01-01-2014 11h45";78.14;0;23.7;0;0;0;
"01-01-2014 12h00";78.14;0;24.7;0;0;0;
"01-01-2014 12h15";82.14;0;23.1;0;0;0;
"01-01-2014 12h30";79.14;0;22.8;0;0;0;
"01-01-2014 12h45";84.14;0;29.3;0;0;0;
"01-01-2014 13h00";83.14;0;30.2;0;0;0;
"01-01-2014 13h15";79.14;0;24.8;0;0;0;
"01-01-2014 13h30";81.14;0;27;0;0;0;
"01-01-2014 13h45";75.14;0;21.4;0;0;0;
"01-01-2014 14h00";83.14;0;29.2;0;0;0;
"01-01-2014 14h15";76.14;0;24.5;0;0;0;
