"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";72;0;12;0;0;0;
"01-01-2014 00h30";65;0;11;0;0;0;
"01-01-2014 00h45";68;0;10;0;1;0;
"01-01-2014 01h00";70;0;17;0;0;0;
"01-01-2014 01h15";75;0;11;0;0;0;
"01-01-2014 01h30";74;0;17;0;0;0;
"01-01-2014 01h45";69;0;15;0;0;0;
"01-01-2014 02h00";70;0;18;0;0;0;
"01-01-2014 02h15";68;0;17;0;0;0;
"01-01-2014 02h30";67;0;18;0;0;0;
"01-01-2014 02h45";75;0;19;0;1;0;
"01-01-2014 03h00";71;0;19;0;0;0;
"01-01-2014 03h15";78;0;17;0;0;0;
"01-01-2014 03h30";75;0;17;0;0;0;
"01-01-2014 03h45";69;0;19;0;0;0;
"01-01-2014 04h00";67;0;22;0;0;0;
"01-01-2014 04h15";73;0;16;0;0;0;
"01-01-2014 04h30";75;0;18;0;0;0;
"01-01-2014 04h45";68;0;14;0;0;0;
"01-01-2014 05h00";68;0;21;0;0;0;
"01-01-2014 05h15";71;0;21;0;0;0;
"01-01-2014 05h30";70;0;21;0;0;0;
"01-01-2014 05h45";65;0;18;0;0;0;
"01-01-2014 06h00";64;0;18;0;0;0;
"01-01-2014 06h15";63;0;10;0;1;0;
"01-01-2014 06h30";63;0;17;0;0;0;
"01-01-2014 06h45";61;0;10;0;1;0;
"01-01-2014 07h00";63;0;15;0;0;0;
"01-01-2014 07h15";68;0;13;0;0;0;
"01-01-2014 07h30";60;0;15;0;0;0;
"01-01-2014 07h45";63;0;16;0;0;0;
"01-01-2014 08h00";61;0;15;0;0;0;
"01-01-2014 08h15";60;0;15;0;0;0;
"01-01-2014 08h30";64;0;15;0;0;0;
"01-01-2014 08h45";66;0;14;0;1;0;
"01-01-2014 09h00";66;0;16;0;0;0;
"01-01-2014 09h15";66;0;14;0;0;0;
"01-01-2014 09h30";66;0;15;0;0;0;
"01-01-2014 09h45";65;0;14;0;0;0;
"01-01-2014 10h00";65;0;15;0;0;0;
"01-01-2014 10h15";68;0;15;0;0;0;
"01-01-2014 10h30";68;0;17;0;0;0;
"01-01-2014 10h45";66;0;14;0;0;0;
"01-01-2014 11h00";66;0;15;0;0;0;
"01-01-2014 11h15";67;0;12;0;0;0;
"01-01-2014 11h30";68;0;16;0;0;0;
"01-01-2014 11h45";72;0;18;0;0;0;
"01-01-2014 12h00";69;0;19;0;0;0;
"01-01-2014 12h15";70;0;13;0;1;0;
"01-01-2014 12h30";66;0;12;0;0;0;
"01-01-2014 12h45";66;0;10;0;1;0;
"01-01-2014 13h00";68;0;16;0;0;0;
"01-01-2014 13h15";75;0;14;0;0;0;
"01-01-2014 13h30";69;0;17;0;0;0;
"01-01-2014 13h45";69;0;18;0;0;0;
"01-01-2014 14h00";69;0;17;0;0;0;
"01-01-2014 14h15";69;0;16;0;0;0;
"01-01-2014 14h30";70;0;16;0;0;0;
"01-01-2014 14h45";69;0;16;0;0;0;
"01-01-2014 15h00";68;0;16;0;0;0;
"01-01-2014 15h15";70;0;18;0;0;0;
"01-01-2014 15h30";70;0;18;0;0;0;
"01-01-2014 15h45";68;0;16;0;0;0;
"01-01-2014 16h00";66;0;16;0;0;0;
"01-01-2014 16h15";76;0;15;0;0;0;
"01-01-2014 16h30";76;0;19;0;0;0;
"01-01-2014 16h45";69;0;29;0;0;0;
"01-01-2014 17h00";73;0;27;0;0;0;
"01-01-2014 17h15";78;0;22;0;0;0;
"01-01-2014 17h30";75;0;19;0;0;0;
"01-01-2014 17h45";71;0;18;0;0;0;
"01-01-2014 18h00";66;0;16;0;0;0;
"01-01-2014 18h15";69;0;12;0;1;0;
"01-01-2014 18h30";66;0;11;0;0;0;
"01-01-2014 18h45";68;0;11;0;1;0;
"01-01-2014 19h00";70;0;17;0;0;0;
"01-01-2014 19h15";73;0;16;0;0;0;
"01-01-2014 19h30";72;0;17;0;0;0;
"01-01-2014 19h45";71;0;16;0;0;0;
"01-01-2014 20h00";67;0;16;0;0;0;
"01-01-2014 20h15";67;0;15;0;0;0;
"01-01-2014 20h30";67;0;15;0;0;0;
"01-01-2014 20h45";68;0;14;0;0;0;
"01-01-2014 21h00";67;0;15;0;0;0;
"01-01-2014 21h15";68;0;16;0;0;0;
"01-01-2014 21h30";72;0;19;0;0;0;
"01-01-2014 21h45";68;0;16;0;0;0;
"01-01-2014 22h00";66;0;15;0;0;0;
"01-01-2014 22h15";64;0;13;0;1;0;
"01-01-2014 22h30";66;0;15;0;0;0;
"01-01-2014 22h45";63;0;11;0;0;0;
"01-01-2014 23h00";67;0;16;0;0;0;
"01-01-2014 23h15";69;0;17;0;0;0;
"01-01-2014 23h30";65;0;16;0;0;0;
"01-01-2014 23h45";63;0;15;0;0;0;
"01-01-2014 00h00";62;0;17;0;0;0;
"02-01-2014 00h15";68;0;20;0;0;0;
"02-01-2014 00h30";63;0;27;0;0;0;
"02-01-2014 00h45";65;0;27;0;0;0;
"02-01-2014 01h00";69;0;26;0;0;0;
"02-01-2014 01h15";77;0;14;0;0;0;
"02-01-2014 01h30";71;0;17;0;0;0;
"02-01-2014 01h45";69;0;17;0;0;0;
"02-01-2014 02h00";68;0;17;0;0;0;
"02-01-2014 02h15";66;0;18;0;0;0;
"02-01-2014 02h30";68;0;18;0;0;0;
"02-01-2014 02h45";74;0;19;0;1;0;
"02-01-2014 03h00";73;0;21;0;0;0;
"02-01-2014 03h15";79;0;17;0;0;0;
"02-01-2014 03h30";78;0;19;0;0;0;
"02-01-2014 03h45";68;0;18;0;0;0;
"02-01-2014 04h00";67;0;22;0;0;0;
"02-01-2014 04h15";74;0;18;0;0;0;
"02-01-2014 04h30";73;0;17;0;0;0;
"02-01-2014 04h45";71;0;16;0;0;0;
"02-01-2014 05h00";70;0;25;0;0;0;
"02-01-2014 05h15";85;0;24;0;0;0;
"02-01-2014 05h30";115;0;18;0;0;0;
"02-01-2014 05h45";110;0;16;0;0;0;
"02-01-2014 06h00";111;0;15;0;0;0;
"02-01-2014 06h15";145;0;28;0;0;0;
"02-01-2014 06h30";161;0;35;0;0;0;
"02-01-2014 06h45";166;0;33;0;0;0;
"02-01-2014 07h00";169;0;38;0;0;0;
"02-01-2014 07h15";171;0;38;0;0;0;
"02-01-2014 07h30";131;0;32;0;0;0;
"02-01-2014 07h45";134;0;32;0;0;0;
"02-01-2014 08h00";155;0;32;0;0;0;
"02-01-2014 08h15";164;0;33;0;0;0;
"02-01-2014 08h30";173;0;35;0;0;0;
"02-01-2014 08h45";171;0;32;0;0;0;
"02-01-2014 09h00";162;0;33;0;0;0;
"02-01-2014 09h15";162;0;33;0;0;0;
"02-01-2014 09h30";168;0;34;0;0;0;
"02-01-2014 09h45";185;0;36;0;0;0;
"02-01-2014 10h00";202;0;39;0;0;0;
"02-01-2014 10h15";204;0;40;0;0;0;
"02-01-2014 10h30";197;0;40;0;0;0;
"02-01-2014 10h45";195;0;40;0;0;0;
"02-01-2014 11h00";201;0;41;0;0;0;
"02-01-2014 11h15";205;0;41;0;0;0;
"02-01-2014 11h30";270;0;74;0;0;0;
"02-01-2014 11h45";312;0;73;0;0;0;
"02-01-2014 12h00";291;0;59;0;0;0;
"02-01-2014 12h15";282;0;68;0;0;0;
"02-01-2014 12h30";287;0;74;0;0;0;
"02-01-2014 12h45";282;0;71;0;0;0;
"02-01-2014 13h00";255;0;67;0;0;0;
"02-01-2014 13h15";261;0;62;0;0;0;
"02-01-2014 13h30";259;0;64;0;0;0;
