"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2012 00h15";218;0;0;0;0;0;
"01-01-2012 00h30";195;0;0;0;0;0;
"01-01-2012 00h45";193;0;0;0;0;0;
"01-01-2012 01h00";186;0;0;0;0;0;
"01-01-2012 01h15";186;0;0;0;0;0;
"01-01-2012 01h30";187;0;0;0;0;0;
"01-01-2012 01h45";189;0;0;0;0;0;
"01-01-2012 02h00";191;0;0;0;0;0;
"01-01-2012 02h15";192;0;0;0;0;0;
"01-01-2012 02h30";190;0;0;0;0;0;
"01-01-2012 02h45";178;0;0;0;0;0;
"01-01-2012 03h00";176;0;0;0;0;0;
"01-01-2012 03h15";170;0;0;0;0;0;
"01-01-2012 03h30";170;0;0;0;0;0;
"01-01-2012 03h45";175;0;0;0;0;0;
"01-01-2012 04h00";172;0;0;0;0;0;
"01-01-2012 04h15";172;0;0;0;0;0;
"01-01-2012 04h30";171;0;0;0;0;0;
"01-01-2012 04h45";169;0;0;0;0;0;
"01-01-2012 05h00";170;0;0;0;0;0;
"01-01-2012 05h15";169;0;0;0;0;0;
"01-01-2012 05h30";169;0;0;0;0;0;
"01-01-2012 05h45";171;0;0;0;0;0;
"01-01-2012 06h00";169;0;0;0;0;0;
"01-01-2012 06h15";170;0;0;0;0;0;
"01-01-2012 06h30";169;0;0;0;0;0;
"01-01-2012 06h45";169;0;0;0;0;0;
"01-01-2012 07h00";171;0;0;0;0;0;
"01-01-2012 07h15";180;0;0;0;0;0;
"01-01-2012 07h30";180;0;0;0;0;0;
"01-01-2012 07h45";180;0;0;0;0;0;
"01-01-2012 08h00";179;0;0;0;0;0;
"01-01-2012 08h15";200;0;0;0;0;0;
"01-01-2012 08h30";204;0;0;0;0;0;
"01-01-2012 08h45";213;0;0;0;0;0;
"01-01-2012 09h00";213;0;0;0;0;0;
"01-01-2012 09h15";232;0;0;0;0;0;
"01-01-2012 09h30";237;0;0;0;0;0;
"01-01-2012 09h45";243;0;0;0;0;0;
"01-01-2012 10h00";257;0;0;0;0;0;
"01-01-2012 10h15";267;0;0;0;0;0;
"01-01-2012 10h30";264;0;0;0;0;0;
"01-01-2012 10h45";263;0;0;0;0;0;
"01-01-2012 11h00";256;0;0;0;0;0;
"01-01-2012 11h15";251;0;0;0;0;0;
"01-01-2012 11h30";249;0;0;0;0;0;
"01-01-2012 11h45";250;0;0;0;0;0;
"01-01-2012 12h00";250;0;0;0;0;0;
"01-01-2012 12h15";250;0;0;0;0;0;
"01-01-2012 12h30";249;0;0;0;0;0;
"01-01-2012 12h45";251;0;0;0;0;0;
"01-01-2012 13h00";250;0;0;0;0;0;
"01-01-2012 13h15";258;0;0;0;0;0;
"01-01-2012 13h30";258;0;0;0;0;0;
"01-01-2012 13h45";259;0;0;0;0;0;
"01-01-2012 14h00";259;0;0;0;0;0;
"01-01-2012 14h15";257;0;0;0;0;0;
"01-01-2012 14h30";259;0;0;0;0;0;
"01-01-2012 14h45";262;0;0;0;0;0;
"01-01-2012 15h00";262;0;0;0;0;0;
"01-01-2012 15h15";322;0;0;0;0;0;
"01-01-2012 15h30";292;0;0;0;0;0;
"01-01-2012 15h45";292;0;0;0;0;0;
"01-01-2012 16h00";284;0;0;0;0;0;
"01-01-2012 16h15";286;0;0;0;0;0;
"01-01-2012 16h30";284;0;0;0;0;0;
"01-01-2012 16h45";286;0;0;0;0;0;
"01-01-2012 17h00";291;0;0;0;0;0;
"01-01-2012 17h15";291;0;0;0;0;0;
"01-01-2012 17h30";302;0;0;0;0;0;
"01-01-2012 17h45";299;0;0;0;0;0;
"01-01-2012 18h00";302;0;0;0;0;0;
"01-01-2012 18h15";310;0;0;0;0;0;
"01-01-2012 18h30";312;0;0;0;0;0;
"01-01-2012 18h45";288;0;0;0;0;0;
"01-01-2012 19h00";287;0;0;0;0;0;
"01-01-2012 19h15";284;0;0;0;0;0;
"01-01-2012 19h30";284;0;0;0;0;0;
"01-01-2012 19h45";279;0;0;0;0;0;
"01-01-2012 20h00";280;0;0;0;0;0;
"01-01-2012 20h15";282;0;0;0;0;0;
"01-01-2012 20h30";273;0;0;0;0;0;
"01-01-2012 20h45";275;0;0;0;0;0;
"01-01-2012 21h00";277;0;0;0;0;0;
"01-01-2012 21h15";281;0;0;0;0;0;
"01-01-2012 21h30";284;0;0;0;0;0;
"01-01-2012 21h45";278;0;0;0;0;0;
"01-01-2012 22h00";275;0;0;0;0;0;
"01-01-2012 22h15";269;0;0;0;0;0;
"01-01-2012 22h30";266;0;0;0;0;0;
"01-01-2012 22h45";267;0;0;0;0;0;
"01-01-2012 23h00";265;0;0;0;0;0;
"01-01-2012 23h15";233;0;0;0;0;0;
"01-01-2012 23h30";218;0;0;0;0;0;
"01-01-2012 23h45";191;0;0;0;0;0;
"01-01-2012 00h00";190;0;0;0;0;0;
"02-01-2012 00h15";192;0;0;0;0;0;
"02-01-2012 00h30";190;0;0;0;0;0;
"02-01-2012 00h45";188;0;0;0;0;0;
"02-01-2012 01h00";186;0;0;0;0;0;
"02-01-2012 01h15";185;0;0;0;0;0;
"02-01-2012 01h30";186;0;0;0;0;0;
"02-01-2012 01h45";190;0;0;0;0;0;
"02-01-2012 02h00";189;0;0;0;0;0;
"02-01-2012 02h15";183;0;0;0;0;0;
"02-01-2012 02h30";184;0;0;0;0;0;
"02-01-2012 02h45";167;0;0;0;0;0;
"02-01-2012 03h00";162;0;0;0;0;0;
"02-01-2012 03h15";155;0;0;0;0;0;
"02-01-2012 03h30";155;0;0;0;0;0;
"02-01-2012 03h45";162;0;0;0;0;0;
"02-01-2012 04h00";159;0;0;0;0;0;
"02-01-2012 04h15";154;0;0;0;0;0;
"02-01-2012 04h30";156;0;0;0;0;0;
"02-01-2012 04h45";155;0;0;0;0;0;
"02-01-2012 05h00";154;0;0;0;0;0;
"02-01-2012 05h15";154;0;0;0;0;0;
"02-01-2012 05h30";154;0;0;0;0;0;
"02-01-2012 05h45";155;0;0;0;0;0;
"02-01-2012 06h00";197;0;0;0;0;0;
"02-01-2012 06h15";200;0;0;0;0;0;
"02-01-2012 06h30";201;0;0;0;0;0;
