"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";149;0;0;0;46;0;
"01-01-2014 00h30";158;0;0;0;50;0;
"01-01-2014 00h45";157;0;0;0;51;0;
"01-01-2014 01h00";149;0;0;0;52;0;
"01-01-2014 01h15";151;0;0;0;53;0;
"01-01-2014 01h30";148;0;0;0;53;0;
"01-01-2014 01h45";147;0;0;0;41;0;
"01-01-2014 02h00";153;0;2;0;0;0;
"01-01-2014 02h15";146;0;2;0;0;0;
"01-01-2014 02h30";148;0;2;0;0;0;
"01-01-2014 02h45";147;0;5;0;0;0;
"01-01-2014 03h00";145;0;6;0;0;0;
"01-01-2014 03h15";148;0;6;0;0;0;
"01-01-2014 03h30";143;0;5;0;0;0;
"01-01-2014 03h45";135;0;2;0;0;0;
"01-01-2014 04h00";135;0;2;0;0;0;
"01-01-2014 04h15";131;0;4;0;0;0;
"01-01-2014 04h30";136;0;4;0;0;0;
"01-01-2014 04h45";134;0;7;0;0;0;
"01-01-2014 05h00";134;0;6;0;0;0;
"01-01-2014 05h15";139;0;1;0;0;0;
"01-01-2014 05h30";133;0;2;0;0;0;
"01-01-2014 05h45";138;0;2;0;0;0;
"01-01-2014 06h00";134;0;1;0;0;0;
"01-01-2014 06h15";136;0;1;0;0;0;
"01-01-2014 06h30";133;0;2;0;0;0;
"01-01-2014 06h45";125;0;2;0;0;0;
"01-01-2014 07h00";131;0;2;0;0;0;
"01-01-2014 07h15";130;0;5;0;0;0;
"01-01-2014 07h30";134;0;13;0;0;0;
"01-01-2014 07h45";139;0;16;0;0;0;
"01-01-2014 08h00";136;0;18;0;0;0;
"01-01-2014 08h15";139;0;18;0;0;0;
"01-01-2014 08h30";148;0;20;0;0;0;
"01-01-2014 08h45";148;0;19;0;0;0;
"01-01-2014 09h00";145;0;11;0;0;0;
"01-01-2014 09h15";140;0;8;0;0;0;
"01-01-2014 09h30";274;0;16;0;0;0;
"01-01-2014 09h45";196;0;2;0;0;0;
"01-01-2014 10h00";258;0;23;0;0;0;
"01-01-2014 10h15";396;0;23;0;0;0;
"01-01-2014 10h30";228;0;19;0;0;0;
"01-01-2014 10h45";229;0;19;0;0;0;
"01-01-2014 11h00";232;0;21;0;0;0;
"01-01-2014 11h15";231;0;21;0;0;0;
"01-01-2014 11h30";294;0;15;0;0;0;
"01-01-2014 11h45";342;0;17;0;0;0;
"01-01-2014 12h00";368;0;25;0;0;0;
"01-01-2014 12h15";346;0;21;0;0;0;
"01-01-2014 12h30";398;0;29;0;0;0;
"01-01-2014 12h45";409;0;18;0;0;0;
"01-01-2014 13h00";345;0;23;0;0;0;
"01-01-2014 13h15";344;0;20;0;0;0;
"01-01-2014 13h30";346;0;20;0;0;0;
"01-01-2014 13h45";350;0;28;0;0;0;
"01-01-2014 14h00";385;0;17;0;1;0;
"01-01-2014 14h15";347;0;33;0;0;0;
"01-01-2014 14h30";346;0;31;0;0;0;
"01-01-2014 14h45";466;0;14;0;0;0;
"01-01-2014 15h00";344;0;32;0;0;0;
"01-01-2014 15h15";346;0;33;0;0;0;
"01-01-2014 15h30";347;0;31;0;0;0;
"01-01-2014 15h45";341;0;28;0;0;0;
"01-01-2014 16h00";375;0;33;0;0;0;
"01-01-2014 16h15";384;0;36;0;0;0;
"01-01-2014 16h30";348;0;30;0;0;0;
"01-01-2014 16h45";375;0;27;0;0;0;
"01-01-2014 17h00";437;0;19;0;0;0;
"01-01-2014 17h15";378;0;30;0;0;0;
"01-01-2014 17h30";413;0;45;0;0;0;
