"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2012 00h15";91.15;0;6;0;0;0;
"01-01-2012 00h30";93.15;0;9.2;0;0;0;
"01-01-2012 00h45";87.14;0;10.6;0;0;0;
"01-01-2012 01h00";90.15;0;3.9;0;0;0;
"01-01-2012 01h15";82.14;0;2.1;0;0;0;
"01-01-2012 01h30";78.14;0;3.7;0;0;0;
"01-01-2012 01h45";76.14;0;2;0;1.5;0;
"01-01-2012 02h00";78.14;0;2;0;3.3;0;
"01-01-2012 02h15";79.14;0;1;0;5.2;0;
"01-01-2012 02h30";76.14;0;1;0;3.5;0;
"01-01-2012 02h45";70.13;0;0;0;1.1;0;
"01-01-2012 03h00";78.14;0;2.7;0;0;0;
"01-01-2012 03h15";74.13;0;1;0;7.7;0;
"01-01-2012 03h30";74.13;0;0;0;3.7;0;
"01-01-2012 03h45";72.13;0;1.1;0;0;0;
"01-01-2012 04h00";77.14;0;1;0;2.4;0;
"01-01-2012 04h15";71.13;0;0;0;10;0;
"01-01-2012 04h30";76.14;0;2;0;2.5;0;
"01-01-2012 04h45";75.14;0;0;0;5.6;0;
"01-01-2012 05h00";75.14;0;2;0;3.6;0;
"01-01-2012 05h15";70.13;0;0;0;4.1;0;
"01-01-2012 05h30";75.14;0;1;0;3.6;0;
"01-01-2012 05h45";76.14;0;1;0;0.5;0;
"01-01-2012 06h00";72.13;0;0;0;5.9;0;
"01-01-2012 06h15";83.14;0;7.2;0;0;0;
"01-01-2012 06h30";90.15;0;5.9;0;0;0;
"01-01-2012 06h45";86.14;0;4.5;0;0;0;
"01-01-2012 07h00";92.15;0;12.1;0;0;0;
"01-01-2012 07h15";100.16;0;4.9;0;0;0;
"01-01-2012 07h30";98.15;0;7.7;0;0;0;
"01-01-2012 07h45";93.15;0;7.2;0;0;0;
"01-01-2012 08h00";90.15;0;4.9;0;0;0;
"01-01-2012 08h15";88.15;0;1.7;0;0;0;
"01-01-2012 08h30";94.15;0;6.3;0;0;0;
"01-01-2012 08h45";97.15;0;12.6;0;0;0;
"01-01-2012 09h00";108.16;0;11.7;0;0;0;
"01-01-2012 09h15";104.16;0;11.3;0;0;0;
"01-01-2012 09h30";106.16;0;7.5;0;0;0;
"01-01-2012 09h45";101.16;0;9;0;0;0;
"01-01-2012 10h00";104.16;0;15.3;0;0;0;
"01-01-2012 10h15";104.16;0;11.3;0;0;0;
"01-01-2012 10h30";105.16;0;12.4;0;0;0;
"01-01-2012 10h45";102.16;0;13.1;0;0;0;
"01-01-2012 11h00";104.16;0;10.3;0;0;0;
"01-01-2012 11h15";106.16;0;11.5;0;0;0;
"01-01-2012 11h30";108.16;0;9.7;0;0;0;
"01-01-2012 11h45";106.16;0;9.5;0;0;0;
"01-01-2012 12h00";111.16;0;12;0;0;0;
"01-01-2012 12h15";107.16;0;9.6;0;0;0;
"01-01-2012 12h30";108.16;0;13.7;0;0;0;
"01-01-2012 12h45";103.16;0;9.2;0;0;0;
"01-01-2012 13h00";108.16;0;11.7;0;0;0;
"01-01-2012 13h15";107.16;0;11.6;0;0;0;
"01-01-2012 13h30";107.16;0;11.6;0;0;0;
"01-01-2012 13h45";106.16;0;15.5;0;0;0;
"01-01-2012 14h00";106.16;0;8.5;0;0;0;
