"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";186;0;0;0;0;0;
"01-01-2014 00h30";194;0;0;0;0;0;
"01-01-2014 00h45";189;0;0;0;0;0;
"01-01-2014 01h00";183;0;0;0;0;0;
"01-01-2014 01h15";182;0;0;0;0;0;
"01-01-2014 01h30";194;0;0;0;0;0;
"01-01-2014 01h45";175;0;0;0;0;0;
"01-01-2014 02h00";174;0;0;0;0;0;
"01-01-2014 02h15";172;0;0;0;0;0;
"01-01-2014 02h30";166;0;0;0;0;0;
"01-01-2014 02h45";160;0;0;0;0;0;
"01-01-2014 03h00";159;0;0;0;0;0;
"01-01-2014 03h15";155;0;0;0;0;0;
"01-01-2014 03h30";154;0;0;0;0;0;
"01-01-2014 03h45";160;0;0;0;0;0;
"01-01-2014 04h00";152;0;0;0;0;0;
"01-01-2014 04h15";168;0;0;0;0;0;
"01-01-2014 04h30";150;0;0;0;0;0;
"01-01-2014 04h45";146;0;0;0;0;0;
"01-01-2014 05h00";144;0;0;0;0;0;
"01-01-2014 05h15";145;0;0;0;0;0;
"01-01-2014 05h30";154;0;0;0;0;0;
"01-01-2014 05h45";138;0;0;0;0;0;
"01-01-2014 06h00";105;0;0;0;0;0;
"01-01-2014 06h15";100;0;0;0;0;0;
"01-01-2014 06h30";100;0;0;0;0;0;
"01-01-2014 06h45";94;0;0;0;0;0;
"01-01-2014 07h00";98;0;0;0;0;0;
"01-01-2014 07h15";106;0;0;0;0;0;
"01-01-2014 07h30";93;0;0;0;0;0;
"01-01-2014 07h45";90;0;0;0;0;0;
"01-01-2014 08h00";79;0;0;0;0;0;
"01-01-2014 08h15";79;0;0;0;0;0;
"01-01-2014 08h30";87;0;0;0;0;0;
"01-01-2014 08h45";95;0;0;0;0;0;
"01-01-2014 09h00";93;0;0;0;0;0;
"01-01-2014 09h15";102;0;0;0;0;0;
"01-01-2014 09h30";106;0;0;0;0;0;
"01-01-2014 09h45";113;0;0;0;0;0;
"01-01-2014 10h00";111;0;0;0;0;0;
"01-01-2014 10h15";114;0;0;0;0;0;
"01-01-2014 10h30";108;0;0;0;0;0;
"01-01-2014 10h45";121;0;0;0;0;0;
"01-01-2014 11h00";119;0;0;0;0;0;
"01-01-2014 11h15";130;0;0;0;0;0;
"01-01-2014 11h30";135;0;0;0;0;0;
"01-01-2014 11h45";138;0;0;0;0;0;
"01-01-2014 12h00";150;0;0;0;0;0;
"01-01-2014 12h15";141;0;0;0;0;0;
"01-01-2014 12h30";141;0;0;0;0;0;
