"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";79.31;0;25.8;0;0;0;
"01-01-2014 00h30";81.31;0;24;0;0;0;
"01-01-2014 00h45";78.3;0;26.7;0;0;0;
"01-01-2014 01h00";81.31;0;25;0;0;0;
"01-01-2014 01h15";78.3;0;22.7;0;0;0;
"01-01-2014 01h30";73.3;0;23.2;0;0;0;
"01-01-2014 01h45";80.31;0;29.9;0;0;0;
"01-01-2014 02h00";79.31;0;26.8;0;0;0;
"01-01-2014 02h15";79.31;0;23.8;0;0;0;
"01-01-2014 02h30";78.3;0;28.7;0;0;0;
"01-01-2014 02h45";72.3;0;22.1;0;0;0;
"01-01-2014 03h00";72.3;0;21.1;0;0;0;
"01-01-2014 03h15";75.3;0;22.4;0;0;0;
"01-01-2014 03h30";71.3;0;18;0;0;0;
"01-01-2014 03h45";75.3;0;25.4;0;0;0;
"01-01-2014 04h00";74.3;0;22.3;0;0;0;
"01-01-2014 04h15";82.31;0;28.1;0;0;0;
"01-01-2014 04h30";72.3;0;20.1;0;0;0;
"01-01-2014 04h45";76.3;0;24.5;0;0;0;
"01-01-2014 05h00";74.3;0;24.3;0;0;0;
"01-01-2014 05h15";79.31;0;20.8;0;0;0;
"01-01-2014 05h30";79.31;0;28.8;0;0;0;
"01-01-2014 05h45";71.3;0;17;0;0;0;
"01-01-2014 06h00";81.31;0;30;0;0;0;
"01-01-2014 06h15";79.31;0;27.8;0;0;0;
"01-01-2014 06h30";69.3;0;16.8;0;0;0;
"01-01-2014 06h45";93.32;0;34.2;0;0;0;
"01-01-2014 07h00";77.3;0;18.6;0;0;0;
"01-01-2014 07h15";86.31;0;26.5;0;0;0;
"01-01-2014 07h30";87.31;0;27.6;0;0;0;
"01-01-2014 07h45";75.3;0;22.4;0;0;0;
"01-01-2014 08h00";85.31;0;32.4;0;0;0;
"01-01-2014 08h15";84.31;0;31.3;0;0;0;
"01-01-2014 08h30";82.31;0;25.1;0;0;0;
"01-01-2014 08h45";85.31;0;28.4;0;0;0;
"01-01-2014 09h00";78.3;0;21.7;0;0;0;
"01-01-2014 09h15";85.31;0;31.4;0;0;0;
"01-01-2014 09h30";85.31;0;27.4;0;0;0;
"01-01-2014 09h45";89.31;0;32.8;0;0;0;
"01-01-2014 10h00";81.31;0;26;0;0;0;
"01-01-2014 10h15";91.31;0;33;0;0;0;
"01-01-2014 10h30";78.3;0;25.7;0;0;0;
"01-01-2014 10h45";92.31;0;29.1;0;0;0;
"01-01-2014 11h00";87.31;0;23.6;0;0;0;
"01-01-2014 11h15";84.31;0;25.3;0;0;0;
"01-01-2014 11h30";87.31;0;27.6;0;0;0;
"01-01-2014 11h45";83.31;0;23.2;0;0;0;
"01-01-2014 12h00";89.31;0;30.8;0;0;0;
"01-01-2014 12h15";87.31;0;25.6;0;0;0;
"01-01-2014 12h30";82.31;0;22.1;0;0;0;
"01-01-2014 12h45";91.31;0;31;0;0;0;
"01-01-2014 13h00";87.31;0;26.6;0;0;0;
"01-01-2014 13h15";91.31;0;28;0;0;0;
"01-01-2014 13h30";78.3;0;20.7;0;0;0;
"01-01-2014 13h45";88.31;0;27.7;0;0;0;
"01-01-2014 14h00";89.31;0;30.8;0;0;0;
"01-01-2014 14h15";85.31;0;24.4;0;0;0;
"01-01-2014 14h30";88.31;0;22.7;0;0;0;
"01-01-2014 14h45";83.31;0;28.2;0;0;0;
"01-01-2014 15h00";86.31;0;28.5;0;0;0;
"01-01-2014 15h15";86.31;0;32.5;0;0;0;
"01-01-2014 15h30";88.31;0;31.7;0;0;0;
"01-01-2014 15h45";84.31;0;25.3;0;0;0;
"01-01-2014 16h00";84.31;0;26.3;0;0;0;
"01-01-2014 16h15";88.31;0;31.7;0;0;0;
"01-01-2014 16h30";80.31;0;20.9;0;0;0;
"01-01-2014 16h45";90.31;0;32.9;0;0;0;
"01-01-2014 17h00";87.31;0;26.6;0;0;0;
"01-01-2014 17h15";87.31;0;29.6;0;0;0;
"01-01-2014 17h30";90.31;0;27.9;0;0;0;
"01-01-2014 17h45";92.31;0;28.1;0;0;0;
