"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";42;0;5;0;0;0;
"01-01-2014 00h30";42;0;5;0;0;0;
"01-01-2014 00h45";42;0;5;0;0;0;
"01-01-2014 01h00";43;0;5;0;0;0;
"01-01-2014 01h15";42;0;5;0;0;0;
"01-01-2014 01h30";43;0;5;0;0;0;
"01-01-2014 01h45";44;0;5;0;0;0;
"01-01-2014 02h00";44;0;5;0;0;0;
"01-01-2014 02h15";43;0;6;0;0;0;
"01-01-2014 02h30";43;0;5;0;0;0;
"01-01-2014 02h45";42;0;5;0;0;0;
"01-01-2014 03h00";42;0;5;0;0;0;
"01-01-2014 03h15";41;0;5;0;0;0;
"01-01-2014 03h30";42;0;4;0;0;0;
"01-01-2014 03h45";41;0;5;0;0;0;
"01-01-2014 04h00";41;0;5;0;0;0;
"01-01-2014 04h15";41;0;5;0;0;0;
"01-01-2014 04h30";41;0;5;0;0;0;
"01-01-2014 04h45";40;0;5;0;0;0;
"01-01-2014 05h00";40;0;4;0;0;0;
"01-01-2014 05h15";41;0;5;0;0;0;
"01-01-2014 05h30";40;0;5;0;0;0;
"01-01-2014 05h45";40;0;5;0;0;0;
"01-01-2014 06h00";40;0;5;0;0;0;
"01-01-2014 06h15";41;0;5;0;0;0;
"01-01-2014 06h30";41;0;5;0;0;0;
"01-01-2014 06h45";40;0;4;0;0;0;
"01-01-2014 07h00";41;0;5;0;0;0;
"01-01-2014 07h15";40;0;5;0;0;0;
"01-01-2014 07h30";41;0;5;0;0;0;
"01-01-2014 07h45";41;0;5;0;0;0;
"01-01-2014 08h00";41;0;5;0;0;0;
"01-01-2014 08h15";42;0;5;0;0;0;
"01-01-2014 08h30";42;0;5;0;0;0;
"01-01-2014 08h45";43;0;5;0;0;0;
"01-01-2014 09h00";42;0;5;0;0;0;
"01-01-2014 09h15";48;0;5;0;0;0;
"01-01-2014 09h30";46;0;5;0;0;0;
"01-01-2014 09h45";46;0;5;0;0;0;
"01-01-2014 10h00";45;0;5;0;0;0;
"01-01-2014 10h15";46;0;5;0;0;0;
"01-01-2014 10h30";46;0;5;0;0;0;
"01-01-2014 10h45";48;0;6;0;0;0;
"01-01-2014 11h00";49;0;5;0;0;0;
"01-01-2014 11h15";50;0;6;0;0;0;
"01-01-2014 11h30";50;0;5;0;0;0;
"01-01-2014 11h45";49;0;6;0;0;0;
"01-01-2014 12h00";50;0;6;0;0;0;
"01-01-2014 12h15";48;0;6;0;0;0;
"01-01-2014 12h30";48;0;5;0;0;0;
"01-01-2014 12h45";47;0;6;0;0;0;
"01-01-2014 13h00";47;0;6;0;0;0;
"01-01-2014 13h15";47;0;6;0;0;0;
"01-01-2014 13h30";46;0;5;0;0;0;
"01-01-2014 13h45";46;0;6;0;0;0;
"01-01-2014 14h00";45;0;5;0;0;0;
"01-01-2014 14h15";45;0;6;0;0;0;
"01-01-2014 14h30";45;0;5;0;0;0;
"01-01-2014 14h45";44;0;6;0;0;0;
"01-01-2014 15h00";44;0;5;0;0;0;
"01-01-2014 15h15";44;0;5;0;0;0;
"01-01-2014 15h30";45;0;6;0;0;0;
"01-01-2014 15h45";43;0;5;0;0;0;
"01-01-2014 16h00";43;0;5;0;0;0;
"01-01-2014 16h15";44;0;6;0;0;0;
"01-01-2014 16h30";43;0;5;0;0;0;
"01-01-2014 16h45";44;0;5;0;0;0;
"01-01-2014 17h00";43;0;5;0;0;0;
"01-01-2014 17h15";44;0;5;0;0;0;
"01-01-2014 17h30";44;0;6;0;0;0;
"01-01-2014 17h45";43;0;5;0;0;0;
"01-01-2014 18h00";44;0;5;0;0;0;
"01-01-2014 18h15";44;0;5;0;0;0;
"01-01-2014 18h30";43;0;5;0;0;0;
"01-01-2014 18h45";44;0;5;0;0;0;
"01-01-2014 19h00";44;0;5;0;0;0;
"01-01-2014 19h15";44;0;5;0;0;0;
"01-01-2014 19h30";43;0;5;0;0;0;
"01-01-2014 19h45";46;0;5;0;0;0;
"01-01-2014 20h00";47;0;6;0;0;0;
"01-01-2014 20h15";46;0;5;0;0;0;
"01-01-2014 20h30";46;0;5;0;0;0;
"01-01-2014 20h45";45;0;5;0;0;0;
"01-01-2014 21h00";46;0;6;0;0;0;
"01-01-2014 21h15";45;0;5;0;0;0;
"01-01-2014 21h30";46;0;5;0;0;0;
"01-01-2014 21h45";45;0;5;0;0;0;
"01-01-2014 22h00";45;0;5;0;0;0;
"01-01-2014 22h15";45;0;6;0;0;0;
"01-01-2014 22h30";44;0;5;0;0;0;
"01-01-2014 22h45";45;0;5;0;0;0;
"01-01-2014 23h00";43;0;5;0;0;0;
"01-01-2014 23h15";44;0;5;0;0;0;
"01-01-2014 23h30";44;0;6;0;0;0;
"01-01-2014 23h45";42;0;5;0;0;0;
"01-01-2014 00h00";43;0;5;0;0;0;
"02-01-2014 00h15";41;0;5;0;0;0;
"02-01-2014 00h30";42;0;5;0;0;0;
"02-01-2014 00h45";42;0;5;0;0;0;
"02-01-2014 01h00";41;0;5;0;0;0;
"02-01-2014 01h15";42;0;5;0;0;0;
"02-01-2014 01h30";42;0;5;0;0;0;
"02-01-2014 01h45";42;0;5;0;0;0;
"02-01-2014 02h00";41;0;5;0;0;0;
"02-01-2014 02h15";41;0;5;0;0;0;
"02-01-2014 02h30";42;0;5;0;0;0;
"02-01-2014 02h45";40;0;5;0;0;0;
"02-01-2014 03h00";41;0;5;0;0;0;
"02-01-2014 03h15";41;0;5;0;0;0;
"02-01-2014 03h30";40;0;5;0;0;0;
"02-01-2014 03h45";41;0;5;0;0;0;
"02-01-2014 04h00";40;0;5;0;0;0;
"02-01-2014 04h15";40;0;5;0;0;0;
"02-01-2014 04h30";41;0;5;0;0;0;
"02-01-2014 04h45";40;0;6;0;0;0;
"02-01-2014 05h00";40;0;5;0;0;0;
"02-01-2014 05h15";40;0;5;0;0;0;
"02-01-2014 05h30";40;0;4;0;0;0;
"02-01-2014 05h45";40;0;5;0;0;0;
"02-01-2014 06h00";40;0;5;0;0;0;
"02-01-2014 06h15";41;0;5;0;0;0;
"02-01-2014 06h30";41;0;5;0;0;0;
"02-01-2014 06h45";42;0;5;0;0;0;
