"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";92.31;0;52.1;0;0;0;
"01-01-2014 00h30";85.31;0;48.4;0;0;0;
"01-01-2014 00h45";88.31;0;51.7;0;0;0;
"01-01-2014 01h00";84.31;0;55.3;0;0;0;
"01-01-2014 01h15";97.32;0;50.6;0;0;0;
"01-01-2014 01h30";86.31;0;54.5;0;0;0;
"01-01-2014 01h45";77.3;0;48.6;0;0;0;
"01-01-2014 02h00";76.3;0;53.5;0;0;0;
"01-01-2014 02h15";97.32;0;64.6;0;0;0;
"01-01-2014 02h30";87.31;0;54.6;0;0;0;
"01-01-2014 02h45";80.31;0;58.9;0;0;0;
"01-01-2014 03h00";71.3;0;50;0;0;0;
"01-01-2014 03h15";84.31;0;57.3;0;0;0;
"01-01-2014 03h30";74.3;0;50.3;0;0;0;
"01-01-2014 03h45";74.3;0;51.3;0;0;0;
"01-01-2014 04h00";79.31;0;58.8;0;0;0;
"01-01-2014 04h15";88.31;0;50.7;0;0;0;
"01-01-2014 04h30";82.31;0;51.1;0;0;0;
"01-01-2014 04h45";78.3;0;57.7;0;0;0;
"01-01-2014 05h00";75.3;0;55.4;0;0;0;
"01-01-2014 05h15";76.3;0;58.5;0;0;0;
"01-01-2014 05h30";71.3;0;50;0;0;0;
"01-01-2014 05h45";72.3;0;52.1;0;0;0;
"01-01-2014 06h00";73.3;0;54.2;0;0;0;
"01-01-2014 06h15";73.3;0;53.2;0;0;0;
"01-01-2014 06h30";71.3;0;51;0;0;0;
"01-01-2014 06h45";81.31;0;57;0;0;0;
"01-01-2014 07h00";77.3;0;55.6;0;0;0;
"01-01-2014 07h15";77.3;0;52.6;0;0;0;
"01-01-2014 07h30";79.31;0;59.8;0;0;0;
"01-01-2014 07h45";73.3;0;52.2;0;0;0;
"01-01-2014 08h00";72.3;0;48.1;0;0;0;
