"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2013 00h15";11;0;1;0;0;0;
"01-01-2013 00h30";6;0;0;0;0;0;
"01-01-2013 00h45";10;0;0;0;0;0;
"01-01-2013 01h00";7;0;0;0;0;0;
"01-01-2013 01h15";7;0;0;0;1;0;
"01-01-2013 01h30";6;0;0;0;0;0;
"01-01-2013 01h45";9;0;0;0;0;0;
"01-01-2013 02h00";7;0;0;0;0;0;
"01-01-2013 02h15";8;0;2;0;1;0;
"01-01-2013 02h30";8;0;1;0;0;0;
"01-01-2013 02h45";7;0;1;0;0;0;
"01-01-2013 03h00";10;0;0;0;0;0;
"01-01-2013 03h15";7;0;1;0;0;0;
"01-01-2013 03h30";7;0;0;0;0;0;
"01-01-2013 03h45";7;0;0;0;1;0;
"01-01-2013 04h00";11;0;0;0;0;0;
"01-01-2013 04h15";7;0;0;0;0;0;
"01-01-2013 04h30";6;0;0;0;0;0;
"01-01-2013 04h45";7;0;0;0;1;0;
"01-01-2013 05h00";10;0;0;0;0;0;
"01-01-2013 05h15";11;0;2;0;0;0;
"01-01-2013 05h30";8;0;2;0;0;0;
"01-01-2013 05h45";8;0;1;0;0;0;
"01-01-2013 06h00";9;0;1;0;0;0;
"01-01-2013 06h15";7;0;0;0;1;0;
"01-01-2013 06h30";16;0;0;0;0;0;
"01-01-2013 06h45";9;0;0;0;0;0;
"01-01-2013 07h00";6;0;1;0;0;0;
"01-01-2013 07h15";5;0;1;0;0;0;
"01-01-2013 07h30";6;0;2;0;0;0;
"01-01-2013 07h45";9;0;0;0;12;0;
"01-01-2013 08h00";6;0;0;0;19;0;
"01-01-2013 08h15";6;0;0;0;18;0;
"01-01-2013 08h30";7;0;0;0;17;0;
"01-01-2013 08h45";7;0;0;0;17;0;
"01-01-2013 09h00";8;0;0;0;18;0;
"01-01-2013 09h15";5;0;0;0;18;0;
"01-01-2013 09h30";6;0;0;0;19;0;
"01-01-2013 09h45";6;0;0;0;18;0;
"01-01-2013 10h00";8;0;0;0;18;0;
"01-01-2013 10h15";5;0;0;0;18;0;
"01-01-2013 10h30";6;0;0;0;18;0;
"01-01-2013 10h45";6;0;0;0;18;0;
"01-01-2013 11h00";9;0;0;0;19;0;
"01-01-2013 11h15";7;0;0;0;16;0;
"01-01-2013 11h30";8;0;0;0;16;0;
"01-01-2013 11h45";7;0;0;0;17;0;
"01-01-2013 12h00";8;0;0;0;18;0;
"01-01-2013 12h15";16;0;0;0;18;0;
"01-01-2013 12h30";7;0;0;0;18;0;
"01-01-2013 12h45";7;0;0;0;18;0;
"01-01-2013 13h00";5;0;0;0;18;0;
"01-01-2013 13h15";8;0;0;0;18;0;
"01-01-2013 13h30";6;0;0;0;18;0;
"01-01-2013 13h45";8;0;0;0;18;0;
"01-01-2013 14h00";6;0;0;0;17;0;
"01-01-2013 14h15";8;0;0;0;16;0;
"01-01-2013 14h30";7;0;0;0;17;0;
"01-01-2013 14h45";6;0;0;0;18;0;
"01-01-2013 15h00";5;0;0;0;18;0;
"01-01-2013 15h15";6;0;0;0;18;0;
"01-01-2013 15h30";9;0;0;0;18;0;
"01-01-2013 15h45";5;0;0;0;18;0;
"01-01-2013 16h00";8;0;0;0;19;0;
"01-01-2013 16h15";5;0;0;0;18;0;
"01-01-2013 16h30";4;0;0;0;18;0;
"01-01-2013 16h45";8;0;0;0;16;0;
"01-01-2013 17h00";8;0;0;0;19;0;
"01-01-2013 17h15";7;0;0;0;16;0;
"01-01-2013 17h30";7;0;0;0;16;0;
"01-01-2013 17h45";10;0;0;0;17;0;
"01-01-2013 18h00";6;0;0;0;20;0;
"01-01-2013 18h15";8;0;0;0;21;0;
"01-01-2013 18h30";7;0;0;0;20;0;
"01-01-2013 18h45";6;0;0;0;21;0;
"01-01-2013 19h00";15;0;0;0;21;0;
"01-01-2013 19h15";6;0;0;0;20;0;
"01-01-2013 19h30";8;0;0;0;21;0;
"01-01-2013 19h45";5;0;0;0;20;0;
"01-01-2013 20h00";6;0;0;0;20;0;
"01-01-2013 20h15";7;0;0;0;19;0;
"01-01-2013 20h30";7;0;0;0;20;0;
"01-01-2013 20h45";7;0;0;0;20;0;
"01-01-2013 21h00";8;0;0;0;21;0;
"01-01-2013 21h15";6;0;0;0;7;0;
"01-01-2013 21h30";5;0;0;0;0;0;
"01-01-2013 21h45";5;0;1;0;1;0;
"01-01-2013 22h00";8;0;0;0;0;0;
"01-01-2013 22h15";9;0;0;0;1;0;
"01-01-2013 22h30";7;0;0;0;0;0;
"01-01-2013 22h45";8;0;0;0;1;0;
"01-01-2013 23h00";8;0;0;0;0;0;
