"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";35;0;8;0;1;0;
"01-01-2014 00h30";32;0;7;0;0;0;
"01-01-2014 00h45";28;0;5;0;1;0;
"01-01-2014 01h00";31;0;7;0;2;0;
"01-01-2014 01h15";31;0;6;0;1;0;
"01-01-2014 01h30";30;0;5;0;1;0;
"01-01-2014 01h45";38;0;7;0;1;0;
"01-01-2014 02h00";37;0;7;0;0;0;
"01-01-2014 02h15";37;0;7;0;1;0;
"01-01-2014 02h30";39;0;7;0;0;0;
"01-01-2014 02h45";33;0;5;0;1;0;
"01-01-2014 03h00";34;0;7;0;0;0;
"01-01-2014 03h15";37;0;8;0;0;0;
"01-01-2014 03h30";32;0;7;0;2;0;
"01-01-2014 03h45";35;0;8;0;0;0;
"01-01-2014 04h00";31;0;6;0;1;0;
"01-01-2014 04h15";36;0;9;0;1;0;
"01-01-2014 04h30";35;0;7;0;0;0;
"01-01-2014 04h45";35;0;7;0;0;0;
"01-01-2014 05h00";34;0;8;0;2;0;
"01-01-2014 05h15";31;0;7;0;0;0;
"01-01-2014 05h30";31;0;6;0;1;0;
"01-01-2014 05h45";34;0;7;0;0;0;
"01-01-2014 06h00";30;0;6;0;1;0;
"01-01-2014 06h15";35;0;8;0;1;0;
"01-01-2014 06h30";31;0;5;0;0;0;
"01-01-2014 06h45";33;0;8;0;1;0;
"01-01-2014 07h00";36;0;8;0;0;0;
"01-01-2014 07h15";31;0;6;0;1;0;
"01-01-2014 07h30";31;0;6;0;2;0;
"01-01-2014 07h45";33;0;7;0;0;0;
"01-01-2014 08h00";29;0;6;0;1;0;
"01-01-2014 08h15";36;0;8;0;0;0;
"01-01-2014 08h30";34;0;8;0;1;0;
"01-01-2014 08h45";33;0;8;0;0;0;
"01-01-2014 09h00";40;0;12;0;0;0;
"01-01-2014 09h15";38;0;11;0;0;0;
"01-01-2014 09h30";38;0;11;0;0;0;
"01-01-2014 09h45";42;0;11;0;0;0;
"01-01-2014 10h00";37;0;9;0;0;0;
"01-01-2014 10h15";43;0;12;0;0;0;
"01-01-2014 10h30";41;0;11;0;0;0;
"01-01-2014 10h45";40;0;10;0;0;0;
"01-01-2014 11h00";43;0;12;0;0;0;
"01-01-2014 11h15";38;0;9;0;1;0;
"01-01-2014 11h30";40;0;10;0;0;0;
"01-01-2014 11h45";42;0;11;0;0;0;
"01-01-2014 12h00";44;0;13;0;0;0;
"01-01-2014 12h15";43;0;12;0;0;0;
"01-01-2014 12h30";40;0;10;0;0;0;
"01-01-2014 12h45";39;0;9;0;0;0;
"01-01-2014 13h00";41;0;9;0;0;0;
"01-01-2014 13h15";42;0;12;0;0;0;
"01-01-2014 13h30";38;0;8;0;0;0;
"01-01-2014 13h45";42;0;11;0;0;0;
"01-01-2014 14h00";37;0;8;0;1;0;
"01-01-2014 14h15";41;0;11;0;0;0;
"01-01-2014 14h30";40;0;9;0;0;0;
"01-01-2014 14h45";40;0;11;0;0;0;
"01-01-2014 15h00";41;0;12;0;0;0;
"01-01-2014 15h15";40;0;10;0;0;0;
"01-01-2014 15h30";42;0;12;0;0;0;
"01-01-2014 15h45";40;0;11;0;1;0;
"01-01-2014 16h00";39;0;9;0;0;0;
"01-01-2014 16h15";42;0;12;0;0;0;
"01-01-2014 16h30";41;0;11;0;0;0;
"01-01-2014 16h45";39;0;9;0;0;0;
"01-01-2014 17h00";42;0;12;0;0;0;
"01-01-2014 17h15";40;0;9;0;0;0;
"01-01-2014 17h30";40;0;10;0;0;0;
