"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";125;0;46;0;0;0;
"01-01-2014 00h30";124;0;45;0;0;0;
"01-01-2014 00h45";118;0;41;0;0;0;
"01-01-2014 01h00";118;0;41;0;0;0;
"01-01-2014 01h15";117;0;41;0;0;0;
"01-01-2014 01h30";117;0;41;0;0;0;
"01-01-2014 01h45";113;0;38;0;0;0;
"01-01-2014 02h00";119;0;42;0;0;0;
"01-01-2014 02h15";117;0;42;0;0;0;
"01-01-2014 02h30";111;0;38;0;0;0;
"01-01-2014 02h45";118;0;44;0;0;0;
"01-01-2014 03h00";117;0;44;0;0;0;
"01-01-2014 03h15";112;0;39;0;0;0;
"01-01-2014 03h30";117;0;43;0;0;0;
"01-01-2014 03h45";117;0;43;0;0;0;
"01-01-2014 04h00";112;0;40;0;0;0;
"01-01-2014 04h15";117;0;43;0;0;0;
"01-01-2014 04h30";119;0;45;0;0;0;
"01-01-2014 04h45";112;0;39;0;0;0;
"01-01-2014 05h00";115;0;41;0;0;0;
"01-01-2014 05h15";120;0;44;0;0;0;
"01-01-2014 05h30";120;0;43;0;0;0;
"01-01-2014 05h45";113;0;38;0;0;0;
"01-01-2014 06h00";119;0;43;0;0;0;
"01-01-2014 06h15";120;0;43;0;0;0;
"01-01-2014 06h30";115;0;39;0;0;0;
"01-01-2014 06h45";115;0;40;0;0;0;
"01-01-2014 07h00";119;0;42;0;0;0;
"01-01-2014 07h15";117;0;42;0;0;0;
"01-01-2014 07h30";112;0;37;0;0;0;
"01-01-2014 07h45";117;0;41;0;0;0;
"01-01-2014 08h00";121;0;41;0;0;0;
"01-01-2014 08h15";115;0;40;0;0;0;
"01-01-2014 08h30";113;0;38;0;0;0;
"01-01-2014 08h45";118;0;42;0;0;0;
"01-01-2014 09h00";117;0;41;0;0;0;
"01-01-2014 09h15";114;0;38;0;0;0;
"01-01-2014 09h30";118;0;41;0;0;0;
"01-01-2014 09h45";120;0;42;0;0;0;
"01-01-2014 10h00";115;0;39;0;0;0;
"01-01-2014 10h15";114;0;37;0;0;0;
"01-01-2014 10h30";120;0;42;0;0;0;
"01-01-2014 10h45";120;0;41;0;0;0;
"01-01-2014 11h00";113;0;37;0;0;0;
"01-01-2014 11h15";119;0;41;0;0;0;
"01-01-2014 11h30";119;0;40;0;0;0;
