"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2013 00h15";15;0;0;0;0;0;
"01-01-2013 00h30";15;0;0;0;0;0;
"01-01-2013 00h45";15;0;0;0;0;0;
"01-01-2013 01h00";16;0;0;0;0;0;
"01-01-2013 01h15";15;0;0;0;0;0;
"01-01-2013 01h30";15;0;0;0;0;0;
"01-01-2013 01h45";16;0;0;0;0;0;
"01-01-2013 02h00";15;0;0;0;0;0;
"01-01-2013 02h15";16;0;0;0;0;0;
"01-01-2013 02h30";15;0;0;0;0;0;
"01-01-2013 02h45";15;0;0;0;0;0;
"01-01-2013 03h00";16;0;0;0;0;0;
"01-01-2013 03h15";15;0;0;0;0;0;
"01-01-2013 03h30";16;0;0;0;0;0;
"01-01-2013 03h45";15;0;0;0;0;0;
"01-01-2013 04h00";15;0;0;0;0;0;
"01-01-2013 04h15";16;0;0;0;0;0;
"01-01-2013 04h30";15;0;0;0;0;0;
"01-01-2013 04h45";15;0;0;0;0;0;
"01-01-2013 05h00";16;0;0;0;0;0;
"01-01-2013 05h15";15;0;0;0;0;0;
"01-01-2013 05h30";16;0;0;0;0;0;
"01-01-2013 05h45";15;0;0;0;0;0;
"01-01-2013 06h00";15;0;0;0;0;0;
"01-01-2013 06h15";16;0;0;0;0;0;
"01-01-2013 06h30";15;0;0;0;0;0;
"01-01-2013 06h45";16;0;0;0;0;0;
"01-01-2013 07h00";15;0;0;0;0;0;
"01-01-2013 07h15";15;0;0;0;0;0;
"01-01-2013 07h30";16;0;0;0;0;0;
"01-01-2013 07h45";15;0;0;0;0;0;
"01-01-2013 08h00";16;0;0;0;0;0;
"01-01-2013 08h15";15;0;0;0;0;0;
"01-01-2013 08h30";15;0;0;0;0;0;
"01-01-2013 08h45";16;0;0;0;0;0;
"01-01-2013 09h00";15;0;0;0;0;0;
"01-01-2013 09h15";15;0;0;0;0;0;
"01-01-2013 09h30";16;0;0;0;0;0;
"01-01-2013 09h45";15;0;0;0;0;0;
"01-01-2013 10h00";16;0;0;0;0;0;
"01-01-2013 10h15";15;0;0;0;0;0;
"01-01-2013 10h30";15;0;0;0;0;0;
"01-01-2013 10h45";16;0;0;0;0;0;
"01-01-2013 11h00";15;0;0;0;0;0;
"01-01-2013 11h15";16;0;0;0;0;0;
"01-01-2013 11h30";15;0;0;0;0;0;
"01-01-2013 11h45";15;0;0;0;0;0;
"01-01-2013 12h00";16;0;0;0;0;0;
"01-01-2013 12h15";15;0;0;0;0;0;
"01-01-2013 12h30";15;0;0;0;0;0;
"01-01-2013 12h45";16;0;0;0;0;0;
"01-01-2013 13h00";15;0;0;0;0;0;
"01-01-2013 13h15";16;0;0;0;0;0;
