"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";10;0;6;0;0;0;
"01-01-2014 00h30";11;0;5;0;0;0;
"01-01-2014 00h45";11;0;6;0;0;0;
"01-01-2014 01h00";12;0;4;0;0;0;
"01-01-2014 01h15";13;0;9;0;0;0;
"01-01-2014 01h30";13;0;8;0;0;0;
"01-01-2014 01h45";12;0;7;0;0;0;
"01-01-2014 02h00";10;0;6;0;0;0;
"01-01-2014 02h15";12;0;7;0;0;0;
"01-01-2014 02h30";10;0;6;0;0;0;
"01-01-2014 02h45";11;0;6;0;0;0;
"01-01-2014 03h00";10;0;6;0;0;0;
"01-01-2014 03h15";11;0;7;0;0;0;
"01-01-2014 03h30";8;0;7;0;0;0;
"01-01-2014 03h45";7;0;6;0;0;0;
"01-01-2014 04h00";8;0;7;0;0;0;
"01-01-2014 04h15";7;0;6;0;0;0;
"01-01-2014 04h30";10;0;9;0;0;0;
"01-01-2014 04h45";12;0;10;0;0;0;
"01-01-2014 05h00";13;0;11;0;0;0;
"01-01-2014 05h15";13;0;12;0;0;0;
"01-01-2014 05h30";11;0;12;0;0;0;
"01-01-2014 05h45";12;0;10;0;0;0;
"01-01-2014 06h00";13;0;9;0;0;0;
"01-01-2014 06h15";13;0;13;0;0;0;
"01-01-2014 06h30";11;0;12;0;0;0;
"01-01-2014 06h45";10;0;10;0;0;0;
"01-01-2014 07h00";9;0;7;0;0;0;
"01-01-2014 07h15";7;0;7;0;0;0;
"01-01-2014 07h30";7;0;6;0;0;0;
"01-01-2014 07h45";7;0;7;0;0;0;
"01-01-2014 08h00";8;0;6;0;0;0;
"01-01-2014 08h15";7;0;7;0;0;0;
"01-01-2014 08h30";10;0;8;0;0;0;
"01-01-2014 08h45";9;0;8;0;0;0;
"01-01-2014 09h00";8;0;8;0;0;0;
"01-01-2014 09h15";8;0;7;0;0;0;
"01-01-2014 09h30";9;0;10;0;0;0;
"01-01-2014 09h45";11;0;6;0;0;0;
"01-01-2014 10h00";13;0;9;0;0;0;
"01-01-2014 10h15";14;0;8;0;0;0;
"01-01-2014 10h30";15;0;7;0;0;0;
"01-01-2014 10h45";33;0;11;0;0;0;
"01-01-2014 11h00";74;0;10;0;0;0;
"01-01-2014 11h15";52;0;13;0;0;0;
"01-01-2014 11h30";41;0;18;0;0;0;
"01-01-2014 11h45";38;0;16;0;0;0;
"01-01-2014 12h00";36;0;17;0;0;0;
"01-01-2014 12h15";41;0;16;0;0;0;
